ID_Hogar;P9030;P9010;P9025S2;P9025S1;P1913S5
72473001;3;1;2;2;10
72473011;2;1;2;2;15
72473021;2;1;2;2;20
72473031;2;1;2;2;30
72473041;2;1;2;2;10
72473071;2;1;2;2;10
72473091;2;1;2;2;20
72473101;2;1;2;2;10
72473111;3;1;2;2;20
72473111;3;1;2;2;30
72473121;2;1;2;2;5
72473141;1;1;2;2;15
72473171;2;1;2;1;10
72473191;2;2;2;2;15
72473201;3;2;2;2;20
72473221;3;1;2;2;10
72473231;2;1;2;2;10
72473241;1;1;2;2;10
72473281;2;1;2;2;10
72473291;2;1;2;2;15
72473311;2;1;2;2;10
72473321;2;1;2;2;10
72473331;2;1;2;2;15
72473351;2;1;2;2;10
72473381;2;1;2;2;30
72473391;3;1;2;2;20
72473411;3;2;2;1;50
72473421;3;1;2;2;50
72473441;3;1;2;2;40
72473451;3;1;2;2;40
72473461;3;1;2;2;40
72473471;2;1;2;2;60
72473511;2;1;2;2;15
72473521;1;1;2;2;10
72473531;2;1;2;2;30
72473541;2;1;2;2;15
72473551;3;1;2;1;15
72473561;2;1;2;2;30
72473561;1;1;2;2;20
72473571;2;1;2;2;10
72473581;2;1;2;2;30
72473591;1;1;2;2;20
72473601;2;1;2;2;15
72473611;2;2;2;2;35
72473631;3;1;2;1;20
72473661;3;2;2;1;35
72473671;2;1;2;2;30
72473691;2;2;2;2;0
72473711;3;1;2;2;20
72473721;2;1;2;2;16
72473731;3;2;2;1;20
72473741;2;1;2;2;20
72473751;3;2;1;2;25
72473761;2;2;1;1;20
72473771;2;1;2;2;15
72473781;2;2;2;2;25
72473791;3;2;1;1;10
72473801;3;2;2;2;25
72473821;2;2;2;1;15
72473831;2;2;2;2;28
72473851;2;1;2;2;15
72473861;2;2;2;2;25
72473881;2;1;2;2;15
72473891;3;1;2;2;15
72473901;2;1;2;2;20
72473911;2;1;2;2;15
72473921;2;1;2;2;5
72473931;2;1;2;2;15
72473941;2;1;2;2;30
72473951;2;1;2;2;30
72473971;2;1;2;2;30
72473981;2;1;2;2;4
72473991;1;1;2;2;10
72474021;2;2;1;1;10
72474031;2;1;2;2;3
72474041;3;2;2;1;10
72474051;1;1;2;2;5
72474061;2;1;2;2;5
72474081;2;1;2;2;10
72474091;3;2;1;1;25
72474111;3;2;1;1;25
72474121;4;2;2;1;15
72474131;4;2;2;1;15
72474141;3;2;1;1;10
72474151;2;1;2;2;9
72474161;3;2;2;1;15
72474171;2;1;2;2;3
72474181;2;1;2;2;5
72474221;2;1;2;2;10
72474231;2;1;2;2;5
72474241;2;1;2;2;2
72474251;2;1;2;2;5
72474271;3;2;1;1;15
72474281;2;1;2;2;50
72474291;2;1;1;2;0
72474301;3;2;1;2;0
72474321;4;1;2;2;20
72474331;3;1;2;2;20
72474341;2;1;2;2;20
72474351;2;1;2;2;0
72474361;2;1;2;1;20
72474371;4;1;2;2;0
72474381;3;1;2;2;0
72474391;3;1;2;1;6
72474401;3;1;2;2;0
72474421;3;1;2;2;0
72474431;3;1;2;2;0
72474441;3;1;2;2;0
72474461;4;2;2;1;15
72474491;2;1;2;2;20
72474501;2;2;2;2;20
72474511;2;2;1;1;15
72474521;2;1;2;2;20
72474531;3;1;1;1;20
72474551;2;2;2;2;20
72474561;2;1;2;2;20
72474571;2;1;2;1;20
72474581;3;1;2;2;20
72474591;3;1;2;2;15
72474601;3;1;2;2;15
72474611;2;1;2;2;20
72474621;2;1;2;2;15
72474631;2;1;2;2;20
72474641;3;1;1;1;10
72474661;3;1;2;2;10
72474671;2;1;2;2;20
72474681;3;2;1;1;20
72474691;3;1;2;2;30
72474701;3;1;2;2;20
72474711;2;1;2;1;25
72474721;2;1;1;1;30
72474731;4;1;2;2;20
72474741;3;1;2;2;40
72474761;2;1;2;2;10
72474781;2;1;2;2;20
72474801;2;1;2;2;10
72474811;2;1;2;2;0
72474821;2;1;2;2;25
72474831;2;1;2;2;25
72474841;2;2;2;1;15
72474851;3;1;2;2;10
72474871;2;1;2;2;13
72474891;2;1;2;2;10
72474901;3;1;2;2;20
72474911;2;1;2;2;15
72474921;2;1;2;2;10
72474931;2;1;2;2;10
72474941;2;1;2;2;20
72474951;2;1;2;2;20
72474961;2;1;2;2;20
72474971;2;2;2;2;16
72474981;2;1;2;2;30
72475001;2;1;2;2;20
72475011;3;1;2;2;15
72475021;3;1;2;2;30
72475031;2;1;2;2;20
72475041;2;1;2;2;25
72475051;2;1;2;2;20
72475061;2;1;2;2;20
72475071;2;2;2;2;13
72475081;2;2;2;2;13
72475091;2;1;2;2;15
72475101;2;1;2;2;20
72475121;2;1;2;2;20
72475131;3;1;2;2;25
72475141;2;1;2;2;20
72475151;1;1;2;2;0
72475161;3;1;2;2;20
72475171;2;1;2;2;20
72475181;3;1;2;2;10
72475191;2;1;2;2;30
72475201;3;1;2;2;20
72475221;2;1;2;2;20
72475241;2;1;2;2;30
72475251;3;1;2;2;35
72475261;2;1;2;2;25
72475271;2;1;2;2;35
72475281;2;1;2;2;35
72475301;2;1;2;2;15
72475311;2;1;2;2;0
72475321;3;1;2;2;0
72475331;3;1;2;2;0
72475341;2;1;2;2;0
72475351;3;1;2;2;0
72475361;2;1;2;1;10
72475381;2;2;2;2;20
72475401;2;1;2;2;5
72475411;2;1;2;2;15
72475421;2;1;2;2;15
72475441;2;1;2;2;5
72475451;2;1;2;2;28
72475461;2;1;2;2;10
72475481;2;1;2;2;15
72475491;2;1;2;2;25
72475501;2;1;2;2;10
72475511;2;2;2;2;5
72475521;2;2;2;2;40
72475531;2;1;2;2;0
72475561;2;1;2;2;10
72475581;2;1;2;2;20
72475601;2;1;2;2;40
72475651;2;1;2;2;0
72475661;2;1;2;2;0
72475671;2;1;2;2;0
72475691;2;1;2;2;40
