ID_Hogar;ID_Persona;EDAD;ETNIA;VIVE_CON_PADRE;VIVE_CON_MADRE;EDUCACION_PADRES;ESCUELA_OFICIAL;UBICACION_ESCUELA;ORIGEN_SUBSIDIO_EDUC;ESTUDIA;VALOR_BECA;TRANSPORTE_ESCUELA;TIEMPO_TRANSPORTE_ESC;EDAD_CUIDADOR;ACT1;ACT2;ACT3;ACT4;ACT5;ACT6;ACT7;NO_ACT;AFILIADO_SALUD;ESTADO_SALUD;ENFERMEDAD_CRONICA;INCAP;HORAS_TRABAJO;ACTIVIDAD_ULT_SEMANA;TRABAJO1;TRABAJO2;TRABAJO3;TRABAJO4;LUGAR_TRABAJO;PERCAPITA;CANT_PERSONAS_HOGAR;INCRESOS_AUTOPERCIBIDOS_HOGAR;CONDIC_VIDA_HOGAR;ACTIVIDADES;TRABAJA;Actividades_p;Salud_p;SATISFACCION
72473021;724730251;7;6.0;2;2;2.0;1;1;;1.0;1;4;5;;;;;;1;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;694500.0;6.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72473031;724730341;10;6.0;2;1;4.0;1;1;7;1.0;1;1;30;;1;;;;;;;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;265083.333333333;4.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72473041;724730431;8;6.0;1;1;;3;1;;1.0;1;2;15;;;;;;;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;300000.0;4.0;2.0;2.0;1.0;0.0;7.0;27.0;34.0
72473071;724730721;7;6.0;2;1;3.0;3;1;;1.0;1;1;10;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;759078.5;2.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72473201;724732051;6;6.0;1;1;;3;1;;1.0;1;4;15;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;954500.0;6.0;2.0;3.0;2.0;0.0;13.0;18.0;31.0
72473311;724733131;7;6.0;1;1;;3;1;;1.0;1;4;10;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;600000.0;5.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72473321;724733231;8;6.0;1;1;;1;1;;1.0;1;;;;;;1;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;385083.333333333;4.0;3.0;2.0;3.0;0.0;18.0;18.0;36.0
72473331;724733331;9;6.0;2;1;3.0;1;1;;1.0;1;;;;;;1;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;250000.0;4.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72473331;724733341;6;6.0;2;1;3.0;1;1;;1.0;1;;;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;250000.0;4.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72473381;724733831;9;1.0;2;1;2.0;3;1;;1.0;1;;;;1;;;;1;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;328055.555555556;3.0;2.0;2.0;4.0;0.0;22.0;27.0;49.0
72473411;724734131;8;6.0;1;1;;1;1;;1.0;1;;;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;253333.333333333;3.0;2.0;3.0;2.0;0.0;13.0;18.0;31.0
72473451;724734531;12;6.0;2;1;2.0;1;1;;1.0;1;3;10;;;;;;1;;1;;1.0;2.0;2;32;;;;;;;;91166.6666666667;5.0;1.0;3.0;2.0;;13.0;18.0;31.0
72473511;724735141;10;6.0;1;1;;1;1;;1.0;1;4;10;72;;;;;1;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;400000.0;4.0;2.0;2.0;3.0;0.0;18.0;27.0;45.0
72473531;724735331;8;6.0;1;1;;1;1;;1.0;1;;;60;;;;;;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;1321666.66666667;4.0;3.0;2.0;2.0;0.0;13.0;27.0;40.0
72473591;724735931;9;6.0;2;1;0.0;3;1;;1.0;1;3;10;;;;1;;1;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;140000.0;5.0;1.0;1.0;3.0;0.0;18.0;27.0;45.0
