DIRECTORIO;P8520S1A1;P1070
7247300;3;2
7247301;3;2
7247302;3;2
7247303;3;2
7247304;3;2
7247307;3;2
7247309;3;2
7247310;3;2
7247311;3;1
7247312;3;1
7247314;3;2
7247317;2;1
7247319;3;1
7247320;3;2
7247322;2;2
7247323;3;2
7247324;3;2
7247328;3;1
7247329;3;2
7247331;2;2
7247332;2;2
7247333;2;2
7247335;2;1
7247338;1;1
7247339;1;1
7247341;1;1
7247342;1;1
7247344;1;1
7247345;1;1
7247346;1;1
7247347;1;1
7247351;2;2
7247352;2;2
7247353;3;2
7247354;2;1
7247355;2;1
7247356;2;1
7247357;2;2
7247358;3;1
7247359;2;1
7247360;2;1
7247361;1;1
7247363;1;1
7247366;1;1
7247367;1;1
7247369;1;1
7247371;1;1
7247372;1;1
7247373;1;1
7247374;1;1
7247375;1;1
7247376;1;2
7247377;1;1
7247378;1;2
7247379;1;1
7247380;1;2
7247382;1;1
7247383;1;1
7247385;1;1
7247386;1;1
7247388;2;2
7247389;2;2
7247390;2;2
7247391;2;2
7247392;2;2
7247393;2;2
7247394;1;1
7247395;1;1
7247397;1;2
7247398;1;1
7247399;1;1
7247402;1;1
7247403;1;1
7247404;1;1
7247405;1;1
7247406;1;2
7247408;1;1
7247409;1;1
7247411;1;1
7247412;1;2
7247413;1;2
7247414;1;1
7247415;1;1
7247416;1;1
7247417;1;1
7247418;1;1
7247422;1;1
7247423;1;1
7247424;1;1
7247425;1;1
7247427;1;1
7247428;1;1
7247429;1;1
7247430;1;1
7247432;1;1
7247433;1;1
7247434;1;1
7247435;1;1
7247436;1;1
7247437;1;1
7247438;1;1
7247439;1;1
7247440;1;2
7247442;1;2
7247443;1;1
7247444;1;1
7247446;2;1
7247449;2;2
7247450;1;1
7247451;1;1
7247452;1;1
7247453;2;2
7247455;1;1
7247456;1;1
7247457;2;1
7247458;2;1
7247459;2;2
7247460;2;1
7247461;2;2
7247462;2;2
7247463;2;1
7247464;1;1
7247466;1;1
7247467;2;1
7247468;1;1
7247469;1;5
7247470;1;3
7247471;1;1
7247472;1;2
7247473;1;1
7247474;1;1
7247476;2;1
7247478;2;1
7247480;2;3
7247481;2;3
7247482;2;3
7247483;2;3
7247484;1;1
7247485;1;1
7247487;1;1
7247489;1;1
7247490;1;1
7247491;1;1
7247492;1;2
7247493;1;1
7247494;1;1
7247495;1;1
7247496;1;2
7247497;1;1
7247498;1;1
7247500;1;2
7247501;1;1
7247502;1;1
7247503;1;1
7247504;1;1
7247505;3;1
7247506;1;1
7247507;1;1
7247508;1;1
7247509;1;1
7247510;1;1
7247512;1;1
7247513;1;1
7247514;3;1
7247515;1;1
7247516;1;1
7247517;1;1
7247518;1;1
7247519;1;1
7247520;1;1
7247522;1;3
7247524;1;2
7247525;2;1
7247526;1;1
7247527;1;1
7247528;2;3
7247530;2;1
7247531;2;1
7247532;1;1
7247533;1;1
7247534;1;1
7247535;2;2
7247536;3;2
7247538;3;1
7247540;1;1
7247541;2;1
7247542;2;2
7247544;1;2
7247545;1;2
7247546;2;2
7247548;2;2
7247549;2;1
7247550;2;1
7247551;1;1
7247552;2;1
7247553;2;1
7247556;2;3
7247558;2;2
7247560;2;1
7247565;1;2
7247566;2;2
7247567;1;1
7247569;1;2
7247570;1;1
7247571;1;2
7247572;1;2
7247573;1;2
7247574;1;2
7247575;1;1
7247576;1;1
7247577;1;2
7247578;1;2
7247579;2;2
7247580;2;3
7247581;1;2
7247582;1;1
7247583;1;2
7247584;1;1
7247585;1;1
7247586;1;1
7247587;1;1
7247588;1;2
7247590;1;1
7247600;2;2
7247605;2;2
7247613;2;1
7247615;1;1
7247616;1;1
7247617;1;1
7247621;3;1
7247626;1;2
7247628;1;1
7247631;1;1
7247632;1;1
7247635;1;1
7247637;1;1
7247638;1;2
7247639;1;1
7247641;1;2
7247642;1;2
7247643;1;1
7247644;1;1
7247645;1;1
7247646;1;2
7247647;1;1
7247648;1;1
7247649;1;1
7247651;1;1
7247652;1;1
7247653;1;1
7247656;1;1
7247657;1;1
7247658;1;1
7247659;1;1
7247660;1;1
7247662;1;1
7247665;1;1
7247666;1;1
7247667;1;1
7247668;1;1
7247670;1;1
7247671;2;1
7247672;1;1
7247673;1;1
7247675;1;2
7247677;1;1
7247678;1;1
7247679;1;1
7247680;2;2
7247681;2;1
7247683;2;2
7247684;2;1
7247685;2;1
7247686;2;1
7247688;2;1
7247689;2;1
7247691;1;1
7247692;1;1
7247693;1;1
7247694;1;1
7247695;1;1
7247696;1;1
7247697;1;1
7247698;1;1
7247699;1;3
7247700;1;1
7247701;1;1
7247702;1;1
7247703;1;1
7247704;1;1
7247705;1;1
7247706;1;1
7247707;1;1
7247708;1;1
7247709;8;1
7247710;1;1
7247711;1;1
7247712;1;1
7247713;1;1
7247714;1;1
7247715;1;1
7247716;1;1
7247717;1;1
7247718;1;2
7247719;1;1
7247720;1;1
7247721;1;1
7247722;1;2
7247723;1;2
7247725;1;2
7247726;1;2
7247727;1;2
7247728;1;2
7247729;1;2
7247730;1;2
7247731;1;1
7247732;1;1
7247733;1;1
7247734;0;3
7247735;1;3
7247736;1;2
7247739;1;3
7247740;1;1
7247741;1;2
7247742;1;1
7247743;1;1
7247744;1;2
7247745;1;3
7247746;2;1
7247747;1;1
7247748;1;1
7247749;2;1
7247750;2;1
7247751;1;1
7247752;1;1
7247753;2;1
7247754;2;1
7247755;1;1
7247756;1;2
7247757;1;1
7247758;2;1
7247759;1;1
7247760;2;1
7247762;2;2
7247763;1;1
7247769;1;1
