ID_Persona;P6435;P6440;P6460;P8624;P415
724730011;;;;;
724730021;;;;;
724730031;;;;;
724730111;;;;;
724730121;;;;;
724730211;5;2;;;50
724730221;;;;;
724730231;1;;1;1000000;48
724730241;5;2;;;60
724730261;;;;;
724730311;5;2;;;4
724730321;;;;;
724730331;;;;;
724730411;1;;1;1200000;8
724730421;;;;;
724730711;1;;2;980657;50
724730911;5;2;;;6
724730921;;;;;
724731011;5;2;;;36
724731021;;;;;
724731031;4;2;;;105
724731041;1;;1;1200000;48
724731111;;;;;
724731121;5;2;;;21
724731131;;;;;
724731141;;;;;
724731112;1;;1;1000000;48
724731122;;;;;
724731211;;;;;
724731221;5;2;;;28
724731241;;;;;
724731251;;;;;
724731261;;;;;
724731271;;;;;
724731411;1;;1;1000000;48
724731421;5;2;;;40
724731711;;;;;
724731911;6;;;;91
724731921;8;;;;21
724731931;8;;;;30
724731941;;;;;
724731951;5;2;;;56
724732011;;;;;
724732021;5;2;;;60
724732031;1;;2;1000000;60
724732041;;;;;
724732061;;;;;
724732211;5;2;;;10
724732221;;;;;
724732231;;;;;
724732311;;;;;
724732321;;;;;
724732331;5;2;;;50
724732341;4;2;;;48
724732411;1;;1;20000;1
724732421;1;;2;980657;8
724732431;1;;1;980657;8
724732441;1;;2;980657;8
724732811;;;;;
724732821;;;;;
724732831;;;;;
724732841;5;2;;;10
724732911;;;;;
724732921;;;;;
724732931;1;;1;900000;56
724732941;;;;;
724733111;1;;1;3000000;8
724733121;;;;;
724733211;2;;1;1300000;60
724733221;;;;;
724733241;;;;;
724733311;;;;;
724733321;;;;;
724733511;;;;;
724733521;;;;;
724733531;6;;;;40
724733811;5;2;;;45
724733821;5;2;;;50
724733911;5;2;;;48
724733921;;;;;
724733931;;;;;
724733941;;;;;
724733951;;;;;
724734111;4;2;;;60
724734121;5;2;;;20
724734211;5;2;;;6
724734221;;;;;
724734231;;;;;
724734241;;;;;
724734251;;;;;
724734411;5;2;;;39
724734421;;;;;
724734441;;;;;
724734511;5;2;;;32
724734521;;;;;
724734531;;;;;
724734541;;;;;
724734611;;;;;
724734711;;;;;
724735111;;;;;
724735121;4;1;2;;8
724735131;;;;;
724735211;1;;2;2633400;54
724735221;;;;;
724735311;3;;1;870000;60
724735321;4;1;1;;48
724735411;1;;1;877803;8
724735421;1;;2;877803;8
724735431;;;;;
724735441;;;;;
724735511;5;2;;;42
724735521;;;;;
724735531;;;;;
724735541;5;2;;;8
724735611;;;;;
724735621;;;;;
724735612;1;;1;877803;8
724735632;;;;;
724735711;5;2;;;25
724735721;1;;1;1846000;45
724735731;;;;;
724735811;4;1;2;;60
724735821;2;;1;3900000;24
724735831;4;2;;;60
724735841;;;;;
724735911;5;2;;;90
724735921;;;;;
724736011;1;;2;3000000;40
724736021;;;;;
724736031;;;;;
724736111;5;2;;;56
724736121;;;;;
724736131;;;;;
724736311;5;2;;;6
724736321;;;;;
724736611;;;;;
724736621;;;;;
724736711;5;2;;;12
724736721;;;;;
724736731;5;2;;;6
724736741;1;;1;877803;9
724736751;1;;1;877803;8
724736911;5;2;;;40
724736921;;;;;
724736931;5;2;;;50
724737111;5;2;;;30
724737121;;;;;
724737141;;;;;
724737211;;;;;
724737221;5;2;;;10
724737231;5;2;;;6
724737251;5;2;;;7
724737311;3;;1;250000;40
724737321;4;2;;;24
724737411;2;;1;700000;45
724737421;;;;;
724737511;1;;1;900000;40
724737521;;;;;
724737551;;;;;
724737611;5;2;;;8
724737621;5;2;;;6
724737711;1;;1;99;98
724737721;;;;;
724737731;;;;;
724737811;;;;;
724737841;5;2;;;20
724737911;;;;;
724737921;5;2;;;30
724737931;;;;;
724737941;5;2;;;48
724737951;;;;;
724738011;5;2;;;40
724738021;5;2;;;45
724738031;;;;;
724738211;;;;;
724738221;;;;;
724738311;;;;;
724738331;;;;;
724738511;1;;1;1200000;48
724738521;1;;1;800000;48
724738611;5;2;;;30
724738621;1;;2;1200000;40
724738631;;;;;
724738811;5;2;;;3
724738821;;;;;
724738911;5;2;;;30
724738921;5;2;;;60
724739011;1;;1;99;48
724739021;;;;;
724739031;;;;;
724739111;1;;1;99;36
724739121;5;2;;;10
724739131;;;;;
724739211;;;;;
724739221;;;;;
724739231;5;2;;;35
724739241;5;2;;;15
724739311;1;;1;877803;48
724739321;5;2;;;6
724739331;;;;;
724739411;1;;1;400000;28
724739511;6;;;;36
724739521;6;;;;36
724739711;5;2;;;3
724739721;;;;;
724739811;1;;2;865000;56
724739821;;;;;
724739911;1;;1;845000;32
724739921;;;;;
724740211;;;;;
724740221;;;;;
724740231;;;;;
724740241;;;;;
724740311;1;;1;845000;56
724740321;1;;1;500000;60
724740411;5;2;;;48
724740421;;;;;
724740431;5;1;2;;48
724740441;;;;;
724740511;2;;1;1500000;40
724740521;5;1;2;;30
724740611;5;2;;;56
724740621;5;2;;;20
724740811;;;;;
724740821;;;;;
724740831;;;;;
724740841;;;;;
724740911;5;2;;;40
724740921;;;;;
724741111;5;2;;;50
724741121;;;;;
724741211;10;;1;200000;35
724741221;;;;;
724741231;;;;;
724741311;5;2;;;52
724741321;;;;;
724741411;;;;;
724741511;5;2;;;60
724741611;5;2;;;48
724741621;5;2;;;42
724741631;;;;;
724741711;;;;;
724741721;5;2;;;18
724741811;5;2;;;28
724741821;5;2;;;6
724742211;1;;2;820000;54
724742221;;;;;
724742231;;;;;
724742311;5;2;;;20
724742321;;;;;
724742331;;;;;
724742341;;;;;
724742411;5;2;;;20
724742421;;;;;
724742511;5;2;;;5
724742521;;;;;
724742711;5;1;1;;50
724742811;;;;;
724742821;7;;;;35
724742911;7;;;;48
724742921;;;;;
724742931;;;;;
724742941;;;;;
724743011;7;;;;48
724743211;7;;;;40
724743221;;;;;
724743231;;;;;
724743241;;;;;
724743311;10;;1;880000;50
724743321;;;;;
724743331;;;;;
724743341;;;;;
724743351;;;;;
724743361;;;;;
724743411;7;;;;48
724743421;;;;;
724743511;5;1;2;;24
724743521;;;;;
724743611;5;2;;;6
724743621;;;;;
724743631;6;;;;48
724743641;;;;;
724743711;3;;1;300000;50
724743721;;;;;
724743811;5;2;;;30
724743821;5;2;;;20
724743911;;;;;
724743921;;;;;
724743931;;;;;
724744011;1;;1;902000;48
724744031;;;;;
724744211;5;2;;;40
724744221;;;;;
724744311;5;2;;;2
724744411;5;2;;;35
724744421;;;;;
724744431;;;;;
724744611;5;2;;;20
724744621;;;;;
724744911;1;;1;1200000;60
724744921;;;;;
724745011;;;;;
724745021;2;;1;2500000;25
724745111;2;;1;3300000;40
724745121;;;;;
724745131;;;;;
724745211;5;2;;;70
724745221;;;;;
