ID_Persona;NIVEL_DE_EDUCACION;SEXO;SALUD_AUTOPERCIBIDA;ESTADO_CIVIL;ETNIA;Clasificación;INGRESO_AUTOPERCIBIDO;SEGURIDAD_AUTOPERCIBIDA;TRABAJO_AUTOPERCIBIDO;SATISFACCION;I_HOGAR;PERCAPITA;COND_VIDA_DEL_HOGAR;P9010
724730011;3;2.0;8;2;5.0;3ra_edad;5;8;6;7;1920833.33333333;640277.777777778;3;1
724730021;3;1.0;7;2;5.0;3ra_edad;5;8;6;8;1920833.33333333;640277.777777778;3;1
724730031;8;1.0;10;4;5.0;3ra_edad;6;10;4;9;1920833.33333333;640277.777777778;3;1
724730111;4;1.0;7;6;6.0;3ra_edad;7;10;0;4;650000;325000;2;1
724730121;5;2.0;7;6;6.0;3ra_edad;10;10;0;10;650000;325000;2;1
724730261;1;2.0;1;3;6.0;3ra_edad;99;4;4;5;4167000;694500;2;1
724731011;5;1.0;9;6;6.0;3ra_edad;5;7;6;6;4476666.66666667;1119166.66666667;2;1
724731021;6;2.0;3;6;6.0;3ra_edad;5;10;0;7;4476666.66666667;1119166.66666667;2;1
724731111;4;1.0;4;3;5.0;3ra_edad;5;10;9;10;1240000;310000;3;1
724731111;4;1.0;4;3;5.0;3ra_edad;5;10;9;10;1240000;310000;3;1
724731111;4;1.0;4;3;5.0;3ra_edad;5;10;9;10;1841666.66666667;920833.333333333;3;1
724731111;4;1.0;4;3;5.0;3ra_edad;5;10;9;10;1841666.66666667;920833.333333333;3;1
724731211;5;2.0;9;4;6.0;3ra_edad;8;8;7;9;1844166.66666667;263452.380952381;2;1
724731251;3;2.0;5;5;6.0;3ra_edad;5;5;2;7;1844166.66666667;263452.380952381;2;1
724731261;3;1.0;6;5;6.0;3ra_edad;7;7;7;7;1844166.66666667;263452.380952381;2;1
724731271;5;1.0;8;3;6.0;3ra_edad;9;8;4;8;1844166.66666667;263452.380952381;2;1
724732311;3;2.0;4;3;6.0;3ra_edad;5;7;0;7;2863333.33333333;715833.333333333;2;1
724732321;6;1.0;6;5;6.0;3ra_edad;4;8;0;7;2863333.33333333;715833.333333333;2;1
724732411;5;1.0;10;4;6.0;3ra_edad;99;5;0;10;2961971;740492.75;1;1
724732811;5;1.0;5;6;6.0;3ra_edad;0;7;0;5;915833.333333333;228958.333333333;2;1
724732821;4;2.0;10;6;1.0;3ra_edad;2;7;6;8;915833.333333333;228958.333333333;2;1
724732911;6;2.0;6;4;6.0;3ra_edad;5;6;5;6;1097020.66666667;274255.166666667;2;1
724733511;3;1.0;8;6;6.0;3ra_edad;7;9;5;10;650000;216666.666666667;2;1
724733521;3;2.0;10;6;6.0;3ra_edad;7;6;4;9;650000;216666.666666667;2;1
724734441;4;1.0;9;3;6.0;3ra_edad;99;6;0;7;400000;100000;3;1
724735531;5;1.0;7;5;6.0;3ra_edad;99;7;0;7;1700000;425000;3;1
724735611;5;2.0;5;3;6.0;3ra_edad;99;6;3;6;1002500;334166.666666667;2;1
724735611;5;2.0;5;3;6.0;3ra_edad;99;6;3;6;1002500;334166.666666667;1;1
724735611;5;2.0;5;3;6.0;3ra_edad;99;6;3;6;1557322.33333333;519107.444444444;2;1
724735611;5;2.0;5;3;6.0;3ra_edad;99;6;3;6;1557322.33333333;519107.444444444;1;1
724736911;4;1.0;9;4;6.0;3ra_edad;9;5;9;9;2303333.33333333;575833.333333333;2;2
724737551;1;1.0;3;3;6.0;3ra_edad;7;7;3;7;4666666.66666667;933333.333333333;3;2
724737711;4;1.0;7;6;6.0;3ra_edad;6;6;8;7;793333.333333333;264444.444444444;2;1
724737721;4;2.0;8;6;6.0;3ra_edad;8;7;6;7;793333.333333333;264444.444444444;2;1
724737911;3;1.0;4;3;6.0;3ra_edad;4;4;6;3;1927500;321250;3;2
724738211;4;1.0;7;2;6.0;3ra_edad;6;6;8;4;816666.666666667;408333.333333333;2;2
724738221;4;2.0;6;2;6.0;3ra_edad;8;6;6;5;816666.666666667;408333.333333333;2;2
724738811;4;2.0;6;3;6.0;3ra_edad;6;7;7;6;572083.333333333;286041.666666667;2;1
724738821;5;2.0;8;5;6.0;3ra_edad;5;8;1;8;572083.333333333;286041.666666667;2;1
724739111;3;1.0;8;2;6.0;3ra_edad;8;8;8;9;1380000;460000;2;1
724739121;3;2.0;8;2;6.0;3ra_edad;7;8;8;10;1380000;460000;2;1
724739211;3;1.0;6;2;5.0;3ra_edad;6;7;8;8;2555000;638750;2;1
724739221;3;2.0;7;2;5.0;3ra_edad;8;8;8;8;2555000;638750;2;1
724739411;3;1.0;8;5;6.0;3ra_edad;5;7;6;8;729166.666666667;729166.666666667;2;1
724739831;3;2.0;;;6.0;niño;;;;;1198333.33333333;399444.444444445;2;1
724740211;3;2.0;6;3;6.0;3ra_edad;7;6;6;6;763333.333333333;190833.333333333;2;2
724742311;3;2.0;7;4;6.0;3ra_edad;7;7;5;8;600000;150000;2;1
724742511;3;1.0;7;2;6.0;3ra_edad;7;8;8;8;579166.666666667;289583.333333333;2;1
724742521;3;2.0;8;2;6.0;3ra_edad;7;8;8;8;579166.666666667;289583.333333333;2;1
724743911;3;2.0;3;3;6.0;3ra_edad;5;7;5;9;158333.333333333;52777.7777777778;3;1
724744411;4;1.0;7;2;6.0;3ra_edad;6;7;6;7;1185833.33333333;395277.777777778;3;1
724744431;3;1.0;5;4;6.0;3ra_edad;99;6;1;2;1185833.33333333;395277.777777778;3;1
724745811;1;1.0;4;6;5.0;3ra_edad;9;8;4;9;1366666.66666667;341666.666666667;3;1
724745821;3;2.0;6;6;5.0;3ra_edad;4;8;4;9;1366666.66666667;341666.666666667;3;1
724746711;1;1.0;8;2;6.0;3ra_edad;8;8;8;9;875000;291666.666666667;2;1
724746721;1;2.0;8;2;6.0;3ra_edad;7;8;7;9;875000;291666.666666667;2;1
724747311;1;1.0;5;2;5.0;3ra_edad;3;8;8;10;773333.333333333;193333.333333333;4;1
724747411;5;1.0;7;5;6.0;3ra_edad;4;6;3;6;568333.333333333;568333.333333333;3;1
724748411;6;2.0;8;3;2.0;3ra_edad;4;6;5;8;331666.666666667;110555.555555556;2;2
724748711;5;2.0;7;3;6.0;3ra_edad;4;6;4;8;680000;170000;2;1
724748741;3;1.0;7;3;6.0;3ra_edad;7;5;3;8;680000;170000;2;1
724748911;1;1.0;9;2;5.0;3ra_edad;8;8;2;8;1143333.33333333;571666.666666667;2;1
724748921;1;2.0;6;2;5.0;3ra_edad;99;6;0;8;1143333.33333333;571666.666666667;2;1
724749311;3;2.0;7;2;5.0;3ra_edad;4;7;0;7;734666.666666667;146933.333333333;2;1
724749321;1;1.0;5;2;5.0;3ra_edad;99;7;0;8;734666.666666667;146933.333333333;2;1
724749511;3;1.0;6;6;5.0;3ra_edad;8;7;8;8;2245833.33333333;320833.333333333;2;1
724750141;1;1.0;;;6.0;niño;;;;;952500;136071.428571429;3;1
724750341;3;2.0;;;5.0;niño;;;;;1270833.33333333;254166.666666667;2;1
724750351;3;2.0;;;5.0;niño;;;;;1270833.33333333;254166.666666667;2;1
724750611;1;1.0;6;6;5.0;3ra_edad;4;7;0;6;101666.666666667;50833.3333333333;2;1
724750621;4;2.0;7;6;5.0;3ra_edad;6;6;7;7;101666.666666667;50833.3333333333;2;1
724750911;3;1.0;7;2;5.0;3ra_edad;5;8;5;10;1632416.66666667;233202.380952381;2;1
724751031;1;1.0;5;3;5.0;3ra_edad;5;5;5;5;1130000;226000;2;1
724751711;4;1.0;5;2;6.0;3ra_edad;3;9;1;7;1130000;376666.666666667;2;1
724751811;4;2.0;5;3;6.0;3ra_edad;4;10;8;10;364166.666666667;364166.666666667;3;1
724752011;1;1.0;10;2;6.0;3ra_edad;10;10;10;10;387500;129166.666666667;3;1
724753811;3;2.0;9;4;5.0;3ra_edad;8;7;8;9;2900000;966666.666666667;2;2
724754111;3;1.0;6;6;6.0;3ra_edad;8;6;7;8;1625000;812500;2;1
724754121;3;2.0;7;6;6.0;3ra_edad;7;6;6;7;1625000;812500;2;1
724754611;3;1.0;8;2;6.0;3ra_edad;8;9;9;8;0;0;2;1
724754621;3;2.0;10;2;6.0;3ra_edad;10;10;10;10;0;0;2;1
724754911;3;1.0;9;2;5.0;3ra_edad;6;6;5;9;690000;345000;2;1
724754921;3;2.0;8;2;3.0;3ra_edad;7;6;5;8;690000;345000;2;1
724755011;3;2.0;7;5;6.0;3ra_edad;7;7;7;7;513333.333333333;256666.666666667;2;1
724755121;3;2.0;5;6;6.0;3ra_edad;5;5;5;5;1100000;366666.666666667;2;2
724755211;4;2.0;9;4;3.0;3ra_edad;8;5;9;9;3800000;1900000;2;2
724755311;3;1.0;8;6;5.0;3ra_edad;8;8;9;9;1836408.41666667;367281.683333333;2;1
724755321;3;2.0;9;6;5.0;3ra_edad;9;9;8;9;1836408.41666667;367281.683333333;2;1
724755811;4;1.0;6;5;3.0;3ra_edad;7;6;6;8;1780000;1780000;2;1
724756011;4;1.0;8;2;5.0;3ra_edad;7;7;7;9;2066666.66666667;1033333.33333333;2;1
724756021;3;2.0;9;2;5.0;3ra_edad;6;7;5;9;2066666.66666667;1033333.33333333;2;1
724757011;5;1.0;9;6;5.0;3ra_edad;4;10;7;8;1562500;520833.333333333;2;1
724757811;5;2.0;8;6;5.0;3ra_edad;8;8;8;7;1550000;775000;2;1
724758411;4;1.0;9;6;6.0;3ra_edad;8;9;8;8;541666.666666667;270833.333333333;2;1
724758511;5;2.0;8;5;3.0;3ra_edad;6;9;8;9;0;0;2;1
724760011;5;1.0;10;2;6.0;3ra_edad;10;10;10;10;1940666.66666667;277238.095238095;2;1
724760021;3;2.0;10;2;6.0;3ra_edad;10;10;10;10;1940666.66666667;277238.095238095;2;1
724761511;5;1.0;10;6;6.0;3ra_edad;10;10;10;10;1163333.33333333;387777.777777778;2;1
724761721;1;2.0;3;3;6.0;3ra_edad;4;3;3;9;880000;293333.333333333;2;2
724762181;3;2.0;7;3;6.0;3ra_edad;5;8;4;10;2519816.83333333;314977.104166667;2;2
724762611;4;2.0;10;3;6.0;3ra_edad;10;10;10;10;2300000;2300000;1;1
724763711;3;1.0;2;6;6.0;3ra_edad;0;7;0;6;305000;152500;3;1
724763721;3;2.0;5;6;6.0;3ra_edad;99;4;0;6;305000;152500;3;1
724764111;1;1.0;10;2;6.0;3ra_edad;7;10;8;10;188333.333333333;94166.6666666667;2;1
724764721;3;2.0;3;2;6.0;3ra_edad;99;8;4;8;200000;66666.6666666667;2;1
724765321;3;1.0;10;2;6.0;3ra_edad;10;10;10;8;260000;86666.6666666667;2;2
724765711;3;1.0;4;6;6.0;3ra_edad;0;3;0;6;126666.666666667;63333.3333333333;3;1
724765721;3;2.0;0;6;6.0;3ra_edad;99;5;0;7;126666.666666667;63333.3333333333;3;1
724765821;3;1.0;1;3;6.0;3ra_edad;99;2;0;1;1770000;590000;2;1
